Time,SiteIndex,LinkageGroup,DerivedAlleleCount,DerivedAlleleFreq,SelectionCoefficient,SiteClassCode
100,4,0,2543,1.231119E-01,0.000000E+00,0
100,500,0,258,1.249032E-02,0.000000E+00,0
100,2750,0,146,7.068164E-03,6.256811E-03,2
100,9892,0,36,1.742835E-03,0.000000E+00,0
100,9940,0,379,1.834818E-02,0.000000E+00,0
100,16983,0,44,2.130132E-03,0.000000E+00,0
100,19724,0,98,4.744384E-03,0.000000E+00,0
100,23692,0,1945,9.416150E-02,0.000000E+00,0
100,31259,0,20,9.682417E-04,0.000000E+00,0
100,32376,0,1,4.841208E-05,0.000000E+00,0
100,39349,0,2419,1.171088E-01,0.000000E+00,0
100,39786,0,5513,2.668958E-01,0.000000E+00,0
100,49134,0,4451,2.154822E-01,0.000000E+00,0
100,49566,0,2,9.682417E-05,0.000000E+00,0
100,50843,0,2812,1.361348E-01,0.000000E+00,0
100,51014,0,74,3.582494E-03,0.000000E+00,0
100,59292,0,2,9.682417E-05,0.000000E+00,0
100,63874,0,2,9.682417E-05,0.000000E+00,0
100,65839,0,2029,9.822812E-02,0.000000E+00,0
100,69761,0,18794,9.098567E-01,0.000000E+00,0
100,70994,0,35,1.694423E-03,0.000000E+00,0
100,75311,0,2255,1.091692E-01,0.000000E+00,0
100,80573,0,8591,4.159082E-01,0.000000E+00,0
100,80677,0,5163,2.499516E-01,0.000000E+00,0
100,81538,0,17,8.230054E-04,0.000000E+00,0
100,82442,0,632,3.059644E-02,0.000000E+00,0
100,90070,0,17,8.230054E-04,0.000000E+00,0
100,91360,0,2693,1.303737E-01,0.000000E+00,0
100,91987,0,19,9.198296E-04,0.000000E+00,0
100,93159,0,393,1.902595E-02,0.000000E+00,0
100,94568,0,1413,6.840627E-02,0.000000E+00,0
100,94616,0,343,1.660534E-02,0.000000E+00,0
100,95997,0,527,2.551317E-02,0.000000E+00,0
100,100293,0,5,2.420604E-04,-5.920322E-03,1
100,100644,0,1390,6.729280E-02,0.000000E+00,0
100,107838,0,126,6.099923E-03,0.000000E+00,0
100,109384,0,659,3.190356E-02,0.000000E+00,0
100,109783,0,3630,1.757359E-01,0.000000E+00,0
100,110060,0,436,2.110767E-02,0.000000E+00,0
100,111346,0,17,8.230054E-04,0.000000E+00,0
100,112212,0,375,1.815453E-02,0.000000E+00,0
100,113675,0,1750,8.472115E-02,0.000000E+00,0
100,118746,0,7069,3.422250E-01,0.000000E+00,0
100,119808,0,61,2.953137E-03,0.000000E+00,0
100,121533,0,1,4.841208E-05,0.000000E+00,0
100,123596,0,587,2.841789E-02,0.000000E+00,0
100,123854,0,141,6.826104E-03,0.000000E+00,0
100,128365,0,20,9.682417E-04,0.000000E+00,0
100,128995,0,53,2.565840E-03,0.000000E+00,0
100,129669,0,4,1.936483E-04,0.000000E+00,0
100,129701,0,12971,6.279531E-01,0.000000E+00,0
100,129981,0,3,1.452363E-04,0.000000E+00,0
100,130271,0,24,1.161890E-03,0.000000E+00,0
100,133954,0,1162,5.625484E-02,0.000000E+00,0
100,134060,0,1044,5.054222E-02,0.000000E+00,0
100,134417,0,50,2.420604E-03,0.000000E+00,0
100,134854,0,752,3.640589E-02,0.000000E+00,0
100,137593,0,33,1.597599E-03,0.000000E+00,0
100,138315,0,7,3.388846E-04,0.000000E+00,0
100,139765,0,132,6.390395E-03,0.000000E+00,0
100,140036,0,18,8.714175E-04,0.000000E+00,0
100,143290,0,80,3.872967E-03,0.000000E+00,0
100,145247,0,533,2.580364E-02,0.000000E+00,0
100,148427,0,2,9.682417E-05,0.000000E+00,0
100,150366,0,11911,5.766363E-01,0.000000E+00,0
100,151215,0,15,7.261813E-04,0.000000E+00,0
100,154262,0,1,4.841208E-05,1.137695E-03,3
100,158000,0,754,3.650271E-02,-4.674956E-04,1
100,158636,0,382,1.849342E-02,0.000000E+00,0
100,159823,0,123,5.954686E-03,0.000000E+00,0
100,164028,0,50,2.420604E-03,0.000000E+00,0
100,170098,0,14,6.777692E-04,-2.241337E-02,1
100,170711,0,4,1.936483E-04,0.000000E+00,0
100,171872,0,36,1.742835E-03,0.000000E+00,0
100,174178,0,3,1.452363E-04,0.000000E+00,0
100,175191,0,4329,2.095759E-01,5.950080E-03,3
100,178285,0,1,4.841208E-05,0.000000E+00,0
100,179098,0,418,2.023625E-02,0.000000E+00,0
100,180343,0,1,4.841208E-05,0.000000E+00,0
100,182026,0,217,1.050542E-02,0.000000E+00,0
100,185419,0,8,3.872967E-04,0.000000E+00,0
100,187303,0,18,8.714175E-04,7.947542E-03,3
100,188479,0,19,9.198296E-04,0.000000E+00,0
100,188507,0,970,4.695972E-02,0.000000E+00,0
100,188898,0,2,9.682417E-05,0.000000E+00,0
100,190457,0,1990,9.634005E-02,0.000000E+00,0
100,190493,0,3,1.452363E-04,0.000000E+00,0
100,195754,0,6,2.904725E-04,0.000000E+00,0
100,195780,0,1,4.841208E-05,0.000000E+00,0
100,196525,0,1213,5.872386E-02,0.000000E+00,0
100,198131,0,29,1.403950E-03,0.000000E+00,0
100,199750,0,29,1.403950E-03,0.000000E+00,0
100,200126,0,18,8.714175E-04,0.000000E+00,0
100,203815,0,86,4.163439E-03,0.000000E+00,0
100,205135,0,8,3.872967E-04,0.000000E+00,0
100,205498,0,37,1.791247E-03,0.000000E+00,0
100,207446,0,13,6.293571E-04,0.000000E+00,0
100,209996,0,832,4.027885E-02,0.000000E+00,0
100,212543,0,1,4.841208E-05,0.000000E+00,0
100,215960,0,249,1.205461E-02,0.000000E+00,0
100,219049,0,154,7.455461E-03,0.000000E+00,0
100,219351,0,616,2.982184E-02,0.000000E+00,0
100,220217,0,11776,5.701007E-01,0.000000E+00,0
100,221163,0,3,1.452363E-04,0.000000E+00,0
100,223192,0,598,2.895043E-02,0.000000E+00,0
100,223647,0,3,1.452363E-04,0.000000E+00,0
100,223953,0,30,1.452363E-03,0.000000E+00,0
100,225622,0,51,2.469016E-03,-4.533801E-03,1
100,229354,0,997,4.826685E-02,0.000000E+00,0
100,232252,0,1,4.841208E-05,4.882545E-03,3
100,233972,0,7,3.388846E-04,0.000000E+00,0
100,236137,0,12,5.809450E-04,0.000000E+00,0
100,243273,0,983,4.758908E-02,0.000000E+00,0
100,245558,0,2,9.682417E-05,0.000000E+00,0
100,246997,0,665,3.219404E-02,0.000000E+00,0
100,247129,0,1135,5.494771E-02,0.000000E+00,0
100,247164,0,558,2.701394E-02,0.000000E+00,0
100,248349,0,18076,8.750968E-01,0.000000E+00,0
100,252728,1,3557,1.722018E-01,0.000000E+00,0
100,253651,1,36,1.742835E-03,0.000000E+00,0
100,255856,1,3320,1.607281E-01,0.000000E+00,0
100,262273,1,5,2.420604E-04,0.000000E+00,0
100,265695,1,324,1.568552E-02,0.000000E+00,0
100,269347,1,508,2.459334E-02,0.000000E+00,0
100,273586,1,1559,7.547444E-02,0.000000E+00,0
100,282184,1,880,4.260263E-02,0.000000E+00,0
100,282631,1,3162,1.530790E-01,0.000000E+00,0
100,283862,1,7083,3.429028E-01,0.000000E+00,0
100,285711,1,43,2.081720E-03,0.000000E+00,0
100,286073,1,171,8.278466E-03,0.000000E+00,0
100,287927,1,240,1.161890E-02,0.000000E+00,0
100,290521,1,27,1.307126E-03,0.000000E+00,0
100,291222,1,24,1.161890E-03,7.885877E-06,3
100,292221,1,10,4.841208E-04,0.000000E+00,0
100,292666,1,9,4.357088E-04,0.000000E+00,0
100,293591,1,851,4.119868E-02,0.000000E+00,0
100,297242,1,1,4.841208E-05,0.000000E+00,0
100,297342,1,4,1.936483E-04,0.000000E+00,0
100,301008,1,322,1.558869E-02,0.000000E+00,0
100,306518,1,8,3.872967E-04,0.000000E+00,0
100,307251,1,2551,1.234992E-01,0.000000E+00,0
100,307867,1,6,2.904725E-04,0.000000E+00,0
100,314804,1,8,3.872967E-04,0.000000E+00,0
100,315335,1,1,4.841208E-05,0.000000E+00,0
100,317687,1,56,2.711077E-03,0.000000E+00,0
100,324366,1,5749,2.783211E-01,7.394781E-03,2
100,326720,1,11536,5.584818E-01,0.000000E+00,0
100,326959,1,1,4.841208E-05,0.000000E+00,0
100,327222,1,5,2.420604E-04,0.000000E+00,0
